#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 199571:2873 | 07/23/12 22:38:03 | 561  | 561  | 44322815.428   | 43719637.718  |
| 199572:2873 | 07/24/12 02:18:49 | 312  | 312  | 20369934.623   | 20124064.441  |
| 199573:2873 | 07/24/12 04:23:53 | 15   | 15   | 912716.048     | 890790.081    |
| 199574:2873 | 07/24/12 04:35:09 | 246  | 246  | 14181327.831   | 14088327.804  |
| 199608:2875 | 07/24/12 13:47:05 | 686  | 686  | 49780825.051   | 49191276.571  |
| 199698:2880 | 07/26/12 00:15:48 | 56   | 56   | 6797783.511    | 6664930.498   |
| 199699:2880 | 07/26/12 00:43:46 | 754  | 754  | 70660239.392   | 69701521.445  |
| 199703:2880 | 07/26/12 05:55:45 | 529  | 529  | 34388756.567   | 34126547.344  |
| 199739:2882 | 07/26/12 17:15:20 | 67   | 67   | 8354489.624    | 8237270.284   |
| 199751:2884 | 07/27/12 00:32:52 | 28   | 28   | 3458621.563    | 3339126.794   |
| 199752:2884 | 07/27/12 00:57:50 | 322  | 322  | 34299400.031   | 33666225.576  |
| 199753:2884 | 07/27/12 03:06:01 | 59   | 59   | 5603227.049    | 5486102.984   |
| 199754:2884 | 07/27/12 03:35:08 | 823  | 823  | 61166887.293   | 60519056.749  |
| 199804:2886 | 07/27/12 19:15:08 | 555  | 555  | 59871985.496   | 59179987.497  |
| 199812:2887 | 07/28/12 01:24:14 | 707  | 707  | 74057857.068   | 73009141.875  |
| 199832:2888 | 07/28/12 12:43:55 | 199  | 199  | 25602163.236   | 23492867.306  |
| 199833:2888 | 07/28/12 14:18:47 | 1236 | 1236 | 105813439.565  | 104205545.053 |
| 199834:2888 | 07/28/12 22:22:55 | 937  | 937  | 47984679.158   | 47604529.462  |
| 199862:2891 | 07/29/12 14:18:54 | 2    | 2    | 255232.361     | 251312.678    |
| 199864:2891 | 07/29/12 14:45:14 | 486  | 486  | 53546424.798   | 52496138.719  |
| 199867:2891 | 07/29/12 17:57:02 | 320  | 320  | 27865961.003   | 27471735.873  |
| 199868:2891 | 07/29/12 20:06:03 | 21   | 21   | 1592601.130    | 1578919.605   |
| 199875:2892 | 07/30/12 00:31:56 | 262  | 262  | 33035317.577   | 31754874.514  |
| 199876:2892 | 07/30/12 02:18:41 | 343  | 343  | 34604726.385   | 34209197.890  |
| 199877:2892 | 07/30/12 04:48:50 | 871  | 871  | 63764419.611   | 63208736.685  |
| 199960:2893 | 07/30/12 19:24:14 | 413  | 413  | 48575968.932   | 47909310.973  |
| 199961:2893 | 07/30/12 22:08:25 | 287  | 287  | 26920320.476   | 26581706.316  |
| 199967:2894 | 07/31/12 02:42:28 | 126  | 126  | 16185463.552   | 15563091.493  |
| 199973:2896 | 07/31/12 07:19:00 | 12   | 12   | 1584394.782    | 1531865.319   |
| 200041:2898 | 07/31/12 15:24:13 | 587  | 587  | 51852367.814   | 51180658.462  |
| 200042:2898 | 07/31/12 23:05:01 | 536  | 536  | 32721321.332   | 32430019.095  |
| 200049:2898 | 08/01/12 03:25:38 | 177  | 177  | 8737774.018    | 8690422.467   |
| 200075:2900 | 08/01/12 12:01:32 | 527  | 527  | 59570012.559   | 58826703.737  |
| 200091:2902 | 08/01/12 19:34:27 | 1626 | 1626 | 143136901.008  | 141460646.658 |
| 200152:2905 | 08/02/12 20:23:50 | 43   | 43   | 5559340.647    | 5393087.258   |
| 200160:2906 | 08/02/12 23:44:23 | 9    | 9    | 1261025.117    | 1217387.828   |
| 200161:2906 | 08/02/12 23:54:02 | 103  | 103  | 13468197.984   | 11945024.749  |
| 200174:2908 | 08/03/12 05:18:52 | 4    | 4    | 556099.783     | 395431.541    |
| 200177:2908 | 08/03/12 05:29:24 | 48   | 48   | 6366929.073    | 5977406.595   |
| 200178:2908 | 08/03/12 05:54:23 | 32   | 32   | 4085394.961    | 3929560.175   |
| 200180:2908 | 08/03/12 06:15:03 | 18   | 18   | 2229695.230    | 2176829.445   |
| 200186:2908 | 08/03/12 06:49:24 | 24   | 24   | 2795842.926    | 2649581.732   |
| 200188:2908 | 08/03/12 07:08:19 | 352  | 352  | 36164045.166   | 35487315.839  |
| 200190:2908 | 08/03/12 09:31:48 | 876  | 876  | 65317279.129   | 64438928.720  |
| 200229:2911 | 08/04/12 04:40:07 | 622  | 622  | 50794193.836   | 50023986.367  |
| 200243:2912 | 08/04/12 11:31:00 | 68   | 68   | 9633937.888    | 9350877.989   |
| 200244:2912 | 08/04/12 12:05:01 | 325  | 325  | 36193114.043   | 35326921.012  |
| 200245:2912 | 08/04/12 16:09:41 | 343  | 343  | 28200753.314   | 27922337.388  |
| 200368:2918 | 08/06/12 15:09:29 | 109  | 109  | 10439052.780   | 10251100.583  |
| 200369:2918 | 08/06/12 15:55:44 | 684  | 684  | 53571221.361   | 52988968.694  |
| 200381:2920 | 08/07/12 01:07:41 | 167  | 167  | 22701680.933   | 22282739.703  |
| 200466:2926 | 08/07/12 17:22:56 | 137  | 137  | 5875462.372    | 5754695.458   |
| 200473:2927 | 08/07/12 21:31:35 | 1219 | 1219 | 101163016.742  | 100182350.072 |
| 200491:2928 | 08/08/12 08:19:18 | 293  | 293  | 37043317.629   | 36349270.058  |
| 200515:2929 | 08/08/12 16:04:45 | 79   | 79   | 11283571.903   | 10915266.567  |
| 200519:2929 | 08/08/12 16:58:03 | 642  | 642  | 66845950.689   | 65962844.324  |
| 200525:2932 | 08/09/12 01:37:07 | 900  | 900  | 97015203.186   | 95472122.252  |
| 200532:2932 | 08/09/12 07:38:00 | 36   | 36   | 2842113.815    | 2817912.389   |
| 200599:2934 | 08/09/12 19:27:52 | 59   | 59   | 8577305.369    | 8251586.580   |
| 200600:2934 | 08/09/12 19:55:16 | 1137 | 1137 | 113305916.197  | 111777380.970 |
| 200961:2974 | 08/15/12 06:51:14 | 114  | 114  | 807757.237     | 802623.086    |
| 200976:2975 | 08/15/12 12:04:38 | 68   | 68   | 3355141.953    | 3268285.774   |
| 200990:2976 | 08/15/12 15:49:46 | 69   | 69   | 9338249.317    | 8946243.613   |
| 200991:2976 | 08/15/12 16:20:56 | 1020 | 1020 | 97985804.776   | 96427069.018  |
| 200992:2976 | 08/15/12 23:15:21 | 513  | 513  | 31789107.763   | 31565034.157  |
| 201062:2978 | 08/16/12 11:09:00 | 143  | 143  | 20189446.562   | 19585171.025  |
| 201097:2980 | 08/16/12 20:26:26 | 407  | 407  | 51798890.289   | 50424426.420  |
| 201115:2981 | 08/17/12 02:31:36 | 68   | 68   | 9847110.261    | 9460426.562   |
| 201159:2983 | 08/17/12 11:43:18 | 134  | 134  | 19868901.200   | 18558798.112  |
| 201164:2983 | 08/17/12 12:42:06 | 416  | 416  | 49705557.758   | 48675769.838  |
| 201168:2983 | 08/17/12 15:33:50 | 507  | 507  | 45479954.135   | 44858317.181  |
| 201173:2983 | 08/17/12 20:38:34 | 586  | 586  | 35769371.828   | 35514422.956  |
| 201174:2983 | 08/18/12 00:31:26 | 451  | 451  | 21779203.165   | 21582705.858  |
| 201191:2984 | 08/18/12 06:10:04 | 1287 | 1287 | 135804309.533  | 133494273.495 |
| 201193:2984 | 08/18/12 14:43:47 | 19   | 19   | 1335845.410    | 1288976.858   |
| 201196:2984 | 08/18/12 15:01:47 | 839  | 839  | 48800001.830   | 48315436.511  |
